pilot_subset,pilot_priority,pilot_next_step,analysis_unit_id,readiness_disease_name,pathogen_species_name,pathogen_taxid,analysis_unit_label,family,in_master_who,priority_prototype_status,master_tier,modelling_scope_status,transmission_rule_review_status,recommended_next_action,readiness_blocker,vectored_status,generalist_status,transmission_complexity,guild,range_limiting_layer,host_sdm_needed,vector_sdm_needed,direct_vector_evidence_status,country_evidence_status,sdm_availability_status,role_assignment_status,evidence_join_status,has_direct_vector_evidence,host_sdm_species_available,vector_sdm_species_available,genbank_distinct_countries_or_territories,who_don_distinct_countries,modelling_scope_reason
who_core,1,ready_for_model_spec_review,master_10,Marburg virus disease,Orthomarburgvirus marburgense,3052505,Marburg virus,Filoviridae,TRUE,priority,1,include,reviewed,ready_for_model_spec_review,none,non_vectored,specialist,complex,bat_reservoir_spillover,reservoir_host,yes,no,not_expected_non_vectored,who_don_and_genbank,required_sdms_available,reviewed_assignment_present,matched_primary_name,FALSE,5,0,16,17,Included in current default modelling scope after transmission-rule review.
who_core,1,ready_for_model_spec_review,master_11,Lassa fever,Mammarenavirus lassaense,3052310,Lassa Fever virus,Arenaviridae,TRUE,both,1,include,reviewed,ready_for_model_spec_review,none,non_vectored,specialist,mixed,rodent_reservoir_direct_or_environmental,reservoir_host,yes,no,not_expected_non_vectored,who_don_and_genbank,required_sdms_available,reviewed_assignment_present,matched_primary_name,FALSE,10,0,11,10,Included in current default modelling scope after transmission-rule review.
who_core,1,ready_for_model_spec_review,master_12,Nipah virus disease,Henipavirus nipahense,3052225,Nipah virus,Paramyxoviridae,TRUE,both,1,include,reviewed,ready_for_model_spec_review,none,non_vectored,restricted,mixed,bat_reservoir_spillover,mixed,yes,no,not_expected_non_vectored,who_don_and_genbank,required_sdms_available,reviewed_assignment_present,matched_primary_name,FALSE,12,0,8,5,Included in current default modelling scope after transmission-rule review.
who_core,1,find_or_build_host_sdm,master_13,Hendra,Henipavirus hendraense,3052223,Hendra,Paramyxoviridae,TRUE,,3,include,reviewed,find_or_build_host_sdm,missing_required_host_sdm,non_vectored,restricted,mixed,bat_reservoir_spillover,mixed,yes,no,not_expected_non_vectored,genbank_only,missing_required_host_sdm,no_role_evidence_or_assignment,matched_primary_name,FALSE,0,0,2,0,Included in current default modelling scope after transmission-rule review.
who_core,1,ready_for_model_spec_review,master_16,Influenza (H5N1 avian influenza),Alphainfluenzavirus influenzae,11320; 2955291,Influenza A,Orthomyxoviridae,TRUE,both,1,include,reviewed,ready_for_model_spec_review,none,non_vectored,host_group_generalist,mixed,avian_reservoir_non_vectored,mixed,yes,no,not_expected_non_vectored,genbank_only,required_sdms_available,reviewed_assignment_present,matched_primary_name,FALSE,71,0,95,0,Included in current default modelling scope after transmission-rule review.
who_core,1,ready_for_model_spec_review,master_17,Plague,Yersinia pestis,632,Yersinia pestis,Bacteria,TRUE,priority,1,include,reviewed,ready_for_model_spec_review,none,vectored,host_group_generalist,mixed,flea_borne_rodent_pathogen,reservoir_host,yes,optional,direct_vector_evidence_present,who_don_and_genbank,optional_sdms_missing,reviewed_assignment_present,matched_primary_name,TRUE,28,0,36,12,Included in current default modelling scope after transmission-rule review.
who_core,1,curate_role_evidence,master_19,Hantavirus pulmonary syndrome,Orthohantavirus sinnombreense,3052499; 44755,Sinnombre virus,Hantaviridae,TRUE,both,1,include,reviewed,curate_role_evidence,missing_role_evidence,non_vectored,specialist,simple,rodent_reservoir_direct_or_environmental,reservoir_host,yes,no,not_expected_non_vectored,who_don_and_genbank,required_sdms_available,no_role_evidence_or_assignment,matched_primary_name,FALSE,10,0,2,1,Included in current default modelling scope after transmission-rule review.
who_core,1,find_or_build_vector_sdm,master_2,Dengue,Orthoflavivirus denguei,12637; 3052464,Dengue virus,Flaviviridae,TRUE,both,1,include,reviewed,find_or_build_vector_sdm,missing_required_vector_sdm,vectored,restricted,simple,mosquito_borne_arbovirus,vector,no,yes,direct_vector_evidence_present,who_don_and_genbank,missing_required_vector_sdm,reviewed_assignment_present,matched_primary_name,TRUE,25,0,143,63,Included in current default modelling scope after transmission-rule review.
who_core,1,ready_for_model_spec_review,master_20,Argentine hemorrhagic fever,Mammarenavirus juninense,2169991,Junin virus,Arenaviridae,TRUE,prototype,1,include,reviewed,ready_for_model_spec_review,none,non_vectored,specialist,mixed,rodent_reservoir_direct_or_environmental,reservoir_host,yes,no,not_expected_non_vectored,genbank_only,required_sdms_available,reviewed_assignment_present,matched_primary_name,FALSE,2,0,3,0,Included in current default modelling scope after transmission-rule review.
who_core,1,find_or_build_vector_sdm,master_23,Tick-borne encephalitis,Orthoflavivirus encephalitidis,11084; 3052465,Tick-borne encephalitis virus,Flaviviridae,TRUE,prototype,2,include,reviewed,find_or_build_vector_sdm,missing_required_vector_sdm,vectored,restricted,complex,tick_borne_pathogen,vector,optional,yes,direct_vector_evidence_present,genbank_only,missing_required_vector_sdm,reviewed_assignment_present,matched_primary_name,TRUE,26,0,37,0,Included in current default modelling scope after transmission-rule review.
who_core,1,curate_role_evidence,master_28,Hepatitis E,Paslahepevirus balayani,1678143,Hepatitis E virus,Hepeviridae,TRUE,prototype,3,include,reviewed,curate_role_evidence,missing_role_evidence,non_vectored,restricted,mixed,food_waterborne,human_exposure,optional,no,not_expected_non_vectored,who_don_and_genbank,required_sdms_available,no_role_evidence_or_assignment,matched_primary_name,FALSE,32,0,62,9,Included in current default modelling scope after transmission-rule review.
who_core,1,find_or_build_vector_sdm,master_3,Zika virus disease,Orthoflavivirus zikaense,3048459; 64320,Zika virus,Flaviviridae,TRUE,both,1,include,reviewed,find_or_build_vector_sdm,missing_required_vector_sdm,vectored,restricted,mixed,mosquito_borne_arbovirus,vector,no,yes,direct_vector_evidence_present,who_don_and_genbank,missing_required_vector_sdm,reviewed_assignment_present,matched_primary_name,TRUE,13,0,78,33,Included in current default modelling scope after transmission-rule review.
who_core,1,find_or_build_vector_sdm,master_4,Chikungunya fever,Alphavirus chikungunya,3426298; 37124,Chikungunya virus,Togaviridae,TRUE,both,1,include,reviewed,find_or_build_vector_sdm,missing_required_vector_sdm,vectored,restricted,simple,mosquito_borne_arbovirus,vector,no,yes,direct_vector_evidence_present,who_don_and_genbank,missing_required_vector_sdm,reviewed_assignment_present,matched_primary_name,TRUE,14,0,115,28,Included in current default modelling scope after transmission-rule review.
who_core,1,find_or_build_vector_sdm,master_5,Yellow fever,Orthoflavivirus flavi,11089; 3046277,Yellow fever virus,Flaviviridae,TRUE,priority,1,include,reviewed,find_or_build_vector_sdm,missing_required_vector_sdm,vectored,host_group_generalist,complex,mosquito_borne_arbovirus,host_and_vector,optional,yes,direct_vector_evidence_present,who_don_and_genbank,missing_required_vector_sdm,reviewed_assignment_present,matched_primary_name,TRUE,15,0,42,38,Included in current default modelling scope after transmission-rule review.
who_core,1,find_or_build_vector_sdm,master_6,West Nile fever,Orthoflavivirus nilense,11082; 3048448,West Nile virus,Flaviviridae,TRUE,prototype,1,include,reviewed,find_or_build_vector_sdm,missing_required_vector_sdm,vectored,host_group_generalist,complex,mosquito_borne_arbovirus,vector,optional,yes,direct_vector_evidence_present,who_don_and_genbank,missing_required_vector_sdm,reviewed_assignment_present,matched_primary_name,TRUE,25,0,73,6,Included in current default modelling scope after transmission-rule review.
who_core,1,find_or_build_vector_sdm,master_7,Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,3052518,Orthonairovirus haemorrhagiae,Nairoviridae,TRUE,both,1,include,reviewed,find_or_build_vector_sdm,missing_required_vector_sdm,vectored,host_group_generalist,mixed,tick_borne_pathogen,vector,optional,yes,direct_vector_evidence_present,who_don_and_genbank,missing_required_vector_sdm,reviewed_assignment_present,matched_primary_name,TRUE,10,0,53,5,Included in current default modelling scope after transmission-rule review.
