row_type,family,pheic_risk,source_pathogen,source_previous_name,source_msl39_viral_name,source_disease_name,is_priority_pathogen,is_prototype_pathogen,in_gibb_etal,in_empres_i,priority_prototype_status,region_africa,region_americas,region_europe,region_mediterranean,region_se_asia,region_western_pacific,source_unit_scope,analysis_unit,analysis_unit_label,analysis_unit_rank,analysis_decision,decision_rule_trigger,transmission_context,human_infection_status,host_link_status,vector_data_status,amplifier_data_status,example_members,rationale,notes
source_row,Arenaviridae,High,Mammarenavirus juninense,Junin virus,Mammarenavirus juninense,Argentine hemorrhagic fever,FALSE,TRUE,TRUE,FALSE,prototype,none,prototype,none,none,none,none,specific_unit,Mammarenavirus juninense,Junin virus,species_or_equivalent,keep,specific_source_row,host_linked_non_vector,yes,yes_or_expected_from_source,not_central_or_unknown,unknown,,Specific zoonotic source row retained as the current analysis unit.,
source_row,Bornaviridae,Low,Orthobornavirus bornaense,Mammalian Bornavirus 1 (BoDV-1),Orthobornavirus bornaense,Borna disease (encephalitis),FALSE,TRUE,FALSE,FALSE,prototype,none,none,prototype,none,none,none,specific_unit,Orthobornavirus bornaense,Mammalian Bornavirus 1 (BoDV-1),species_or_equivalent,keep,specific_source_row,host_linked_non_vector,yes,yes_or_expected_from_source,not_central_or_unknown,unknown,,Specific zoonotic source row retained as the current analysis unit.,
source_row,Togaviridae,High,Alphavirus chikungunya,Chikungunya virus,Alphavirus chikungunya,Chikungunya fever,TRUE,TRUE,TRUE,FALSE,both,both,both,none,none,both,both,specific_unit,Alphavirus chikungunya,Chikungunya virus,species_or_equivalent,keep,specific_source_row,vector_associated_or_mixed,yes,yes_or_expected_from_source,yes_or_expected,unknown,,Specific zoonotic source row retained as the current analysis unit.,
source_row,Nairoviridae,High,Orthonairovirus haemorrhagiae,,,Crimean-Congo hemorrhagic fever,TRUE,TRUE,TRUE,TRUE,both,both,none,both,both,none,both,specific_unit,Orthonairovirus haemorrhagiae,Orthonairovirus haemorrhagiae,species_or_equivalent,keep,specific_source_row,vector_associated_or_mixed,yes,yes_or_expected_from_source,yes_or_expected,unknown,,Specific zoonotic source row retained as the current analysis unit.,
source_row,Flaviviridae,High,Orthoflavivirus denguei,Dengue virus,Orthoflavivirus denguei,Dengue,TRUE,TRUE,TRUE,FALSE,both,both,both,both,both,both,both,specific_unit,Orthoflavivirus denguei,Dengue virus,species_or_equivalent,keep,specific_source_row,vector_associated_or_mixed,yes,yes_or_expected_from_source,yes_or_expected,unknown,,Specific zoonotic source row retained as the current analysis unit.,
source_row,Filoviridae,High,Orthoebolavirus zairense,Ebola virus,Orthoebolavirus zairense,Ebola virus disease,TRUE,TRUE,TRUE,TRUE,both,both,none,none,none,none,none,specific_unit,Orthoebolavirus zairense,Ebola virus,species_or_equivalent,keep,specific_source_row,host_linked_non_vector,yes,yes_or_expected_from_source,not_central_or_unknown,unknown,,Specific zoonotic source row retained as the current analysis unit.,
source_row,Hantaviridae,High,Orthohantavirus sinnombreense,Sinnombre virus,Orthohantavirus sinnombreense,Hantavirus pulmonary syndrome,TRUE,TRUE,FALSE,FALSE,both,none,both,none,none,none,none,specific_unit,Orthohantavirus sinnombreense,Sinnombre virus,species_or_equivalent,keep,specific_source_row,host_linked_non_vector,yes,yes_or_expected_from_source,not_central_or_unknown,unknown,,Specific zoonotic source row retained as the current analysis unit.,
source_row,Hantaviridae,High,Orthohantavirus hantanense,Hantaan orthohantavirus,Orthohantavirus hantanense,Hemorrhagic fever with renal syndrome (Hantaan virus),TRUE,FALSE,TRUE,FALSE,priority,none,none,priority,none,none,priority,specific_unit,Orthohantavirus hantanense,Hantaan orthohantavirus,species_or_equivalent,keep,specific_source_row,host_linked_non_vector,yes,yes_or_expected_from_source,not_central_or_unknown,unknown,,Specific zoonotic source row retained as the current analysis unit.,
source_row,Hepeviridae,Low,Paslahepevirus balayani genotype 3,Hepatitis E virus,Paslahepevirus balayani,Hepatitis E,FALSE,TRUE,FALSE,FALSE,prototype,prototype,prototype,prototype,prototype,prototype,prototype,specific_unit,Paslahepevirus balayani genotype 3,Hepatitis E virus,species_or_equivalent,keep,specific_source_row,host_linked_non_vector,yes,yes_or_expected_from_source,not_central_or_unknown,unknown,,Specific zoonotic source row retained as the current analysis unit.,
source_row,Orthomyxoviridae,High,Alphainfluenzavirus influenzae (H10N1),Influenza A,Alphainfluenzavirus influenzae,Influenza (H10N1),TRUE,FALSE,FALSE,FALSE,priority,priority,priority,priority,priority,priority,none,subtype_level,Alphainfluenzavirus influenzae (H10N1),Influenza A,subtype,drop_not_prioritized,influenza_drop_currently_human_to_human_or_not_prioritized,host_linked_non_vector,yes,yes_or_expected_from_source,not_central_or_unknown,unknown,,Dropped from the active keep set following the decision to remove the other current influenza subtype rows and only keep H5N1 plus an added H7N9 unit.,Excluded from the active analysis-unit keep file under the current influenza decision rule.
