disease_name,source_pathogen,vector_species,vector_join_key,vector_role_claim,evidence_type,evidence_direction,evidence_span,source_citation,source_url,source_type,claim_confidence,needs_manual_review,notes
West Nile fever,Orthoflavivirus nilense,Culex spp.,culex spp,principal_vector_genus,official_factsheet,supports,Mosquitoes of the genus Culex are generally considered the principal vectors of WNV.,WHO West Nile virus fact sheet,https://www.who.int/en/news-room/fact-sheets/detail/west-nile-virus,official_public_health_factsheet,high,TRUE,Genus-level role evidence; do not collapse to every Culex species without additional review.
West Nile fever,Orthoflavivirus nilense,Culex pipiens,culex pipiens,main_vector,vector_factsheet,supports,Cx. pipiens is considered to be a major vector in WNV transmission.,ECDC Culex pipiens factsheet for experts,https://www.ecdc.europa.eu/en/infectious-disease-topics/related-public-health-topics/disease-vectors/facts/mosquito-factsheets/culex-pipiens,official_vector_factsheet,high,TRUE,ECDC source is Europe-focused; amplificatory and bridge functions are retained in notes but not collapsed into a compound claim value.
West Nile fever,Orthoflavivirus nilense,Culex modestus,culex modestus,main_vector,official_factsheet,supports,Culex pipiens and Culex modestus are the main vectors of WNV.,ECDC factsheet about West Nile virus infection,https://www.ecdc.europa.eu/en/west-nile-fever/facts,official_public_health_factsheet,high,TRUE,ECDC source is Europe-focused; retain caveat before global assignment.
Yellow fever,Yellow fever virus,Aedes aegypti,aedes aegypti,main_vector,official_transmission_guidance,supports,Urban yellow fever transmission occurs between humans and urban mosquitoes primarily Aedes aegypti.,CDC Transmission of Yellow Fever Virus,https://www.cdc.gov/yellow-fever/php/transmission/index.html,official_public_health_guidance,high,FALSE,Explicit urban-cycle vector role.
Yellow fever,Yellow fever virus,Aedes africanus,aedes africanus,sylvatic_vector,official_travel_medicine_guidance,supports,Sylvatic yellow fever involves non-human primates and forest canopy mosquitoes including Aedes africanus.,CDC Yellow Book Yellow Fever,https://www.cdc.gov/yellow-book/hcp/travel-associated-infections-diseases/yellow-fever.html,official_public_health_guidance,high,TRUE,Africa-focused sylvatic vector evidence; keep regional and cycle caveats.
Yellow fever,Yellow fever virus,Haemagogus spp.,haemagogus spp,sylvatic_vector,official_transmission_guidance,supports,Yellow fever is transmitted by infected Aedes Haemagogus and Sabethes mosquitoes.,WHO Yellow fever fact sheet,https://www.who.int/news-room/fact-sheets/detail/yellow-fever,official_public_health_factsheet,high,TRUE,Genus-level sylvatic vector evidence; group assignment only unless species-level source is used.
Yellow fever,Yellow fever virus,Sabethes spp.,sabethes spp,sylvatic_vector,official_transmission_guidance,supports,Yellow fever is transmitted by infected Aedes Haemagogus and Sabethes mosquitoes.,WHO Yellow fever fact sheet,https://www.who.int/news-room/fact-sheets/detail/yellow-fever,official_public_health_factsheet,high,TRUE,Genus-level sylvatic vector evidence; group assignment only unless species-level source is used.
Dengue,Orthoflavivirus denguei,Aedes aegypti,aedes aegypti,primary_vector,official_factsheet,supports,Dengue virus is transmitted to humans primarily by Aedes aegypti mosquitoes.,WHO Dengue and severe dengue fact sheet,https://www.who.int/en/news-room/fact-sheets/detail/dengue-and-severe-dengue,official_public_health_factsheet,high,FALSE,Primary urban vector role is explicit in WHO source.
Dengue,Orthoflavivirus denguei,Aedes albopictus,aedes albopictus,candidate_vector,official_factsheet,supports,Other Aedes species including Aedes albopictus can also act as dengue vectors but are normally secondary.,WHO Dengue and severe dengue fact sheet,https://www.who.int/en/news-room/fact-sheets/detail/dengue-and-severe-dengue,official_public_health_factsheet,medium,TRUE,WHO frames contribution as secondary to Aedes aegypti; retain as candidate or secondary-context role rather than primary.
Plague,Yersinia pestis,fleas,flea,main_vector,official_transmission_guidance,supports,Yersinia pestis is maintained naturally in a cycle involving wild rodents and fleas.,CDC How Plague Spreads,https://www.cdc.gov/plague/causes/index.html,official_public_health_guidance,high,TRUE,Group-level vector evidence only; species-level assignments need species-level support.
