bridge_source,bridge_row_type,bridge_to_existing_who,analysis_unit_id,master_row,disease_master_name,resolved_disease_name_final,resolved_pathogen_name_final,resolved_pathogen_rank_final,include_status_final,active_master_analysis_unit,split_group,pathogen_aliases,pathogen_family_master,master_tier,master_guild,master_livestock_amplified,master_key_host_vector,in_master_who,in_master_gibb,in_master_empres_i,in_master_atlas,master_gbif_checked,master_notes,name_resolution_status,existing_lookup_name,match_field,row_type,family,pheic_risk,source_pathogen,source_previous_name,source_msl39_viral_name,source_disease_name,is_priority_pathogen,is_prototype_pathogen,in_gibb_etal,in_empres_i,priority_prototype_status,region_africa,region_americas,region_europe,region_mediterranean,region_se_asia,region_western_pacific,source_unit_scope,analysis_unit,analysis_unit_label,analysis_unit_rank,analysis_decision,decision_rule_trigger,transmission_context,human_infection_status,host_link_status,vector_data_status,amplifier_data_status,example_members,rationale,notes,resolution_source,resolution_notes,clover_matched_pathogen_names,virion_matched_pathogen_names,clover_matched_taxids,virion_matched_taxids,clover_matched_families,virion_matched_families,clover_matched_source_types,virion_matched_source_types,clover_best_match_type,virion_best_match_type,clover_match_status,virion_match_status,preferred_match_source,overall_match_status,preferred_source_match_status,match_review_flag,shared_species_proxy_flag,match_review_notes,host_query_include_default,host_query_bucket,host_query_source,host_query_pathogen_names,host_query_taxids
disease_master_list,master_and_who_existing_resolution,TRUE,master_2,2,Dengue,Dengue,Orthoflavivirus denguei,species_or_equivalent,yes_existing_who,,,,Flaviviridae,1,D,FALSE,Aedes aegypti/albopictus,TRUE,TRUE,FALSE,FALSE,FALSE,High filling,matched_existing_unit_by_manual_alias,Dengue,source_disease_name,source_row,Flaviviridae,High,Orthoflavivirus denguei,Dengue virus,Orthoflavivirus denguei,Dengue,TRUE,TRUE,TRUE,FALSE,both,both,both,both,both,both,both,specific_unit,Orthoflavivirus denguei,Dengue virus,species_or_equivalent,keep,specific_source_row,vector_associated_or_mixed,yes,yes_or_expected_from_source,yes_or_expected,unknown,,Specific zoonotic source row retained as the current analysis unit.,High filling,,,,,,,,,,,,,,,,,,,,,,unmatched,,,
disease_master_list,master_and_who_existing_resolution,TRUE,master_3,3,Zika,Zika virus disease,Orthoflavivirus zikaense,species_or_equivalent,yes_existing_who,,,,Flaviviridae,1,D,FALSE,Aedes aegypti/albopictus,TRUE,TRUE,FALSE,FALSE,FALSE,High filling,matched_existing_unit_by_manual_alias,Zika virus disease,source_disease_name,source_row,Flaviviridae,High,Orthoflavivirus zikaense,Zika virus,Orthoflavivirus zikaense,Zika virus disease,TRUE,TRUE,TRUE,FALSE,both,both,both,none,none,both,both,specific_unit,Orthoflavivirus zikaense,Zika virus,species_or_equivalent,keep,specific_source_row,vector_associated_or_mixed,yes,yes_or_expected_from_source,yes_or_expected,unknown,,Specific zoonotic source row retained as the current analysis unit.,High filling,,,,,,,,,,,,,,,,,,,,,,unmatched,,,
disease_master_list,master_and_who_existing_resolution,TRUE,master_4,4,Chikungunya,Chikungunya fever,Alphavirus chikungunya,species_or_equivalent,yes_existing_who,,,,Togaviridae,1,D,FALSE,Aedes aegypti/albopictus,TRUE,TRUE,FALSE,FALSE,FALSE,High filling,matched_existing_unit_by_manual_alias,Chikungunya fever,source_disease_name,source_row,Togaviridae,High,Alphavirus chikungunya,Chikungunya virus,Alphavirus chikungunya,Chikungunya fever,TRUE,TRUE,TRUE,FALSE,both,both,both,none,none,both,both,specific_unit,Alphavirus chikungunya,Chikungunya virus,species_or_equivalent,keep,specific_source_row,vector_associated_or_mixed,yes,yes_or_expected_from_source,yes_or_expected,unknown,,Specific zoonotic source row retained as the current analysis unit.,High filling,,,,,,,,,,,,,,,,,,,,,,unmatched,,,
disease_master_list,master_and_who_existing_resolution,TRUE,master_5,5,Yellow fever,Yellow fever,Orthoflavivirus flavi,species_or_equivalent,yes_existing_who,,,,Flaviviridae,1,D/E,FALSE,Aedes spp; NHP reservoir,TRUE,TRUE,FALSE,FALSE,TRUE,Vaccination suppresses range. Flag.,matched_existing_unit_by_manual_alias,Yellow fever,source_disease_name,source_row,Flaviviridae,High,Orthoflavivirus flavi,Yellow fever virus,Orthoflavivirus flavi,Yellow fever,TRUE,FALSE,TRUE,FALSE,priority,priority,priority,none,none,none,none,specific_unit,Orthoflavivirus flavi,Yellow fever virus,species_or_equivalent,keep,specific_source_row,vector_associated_or_mixed,yes,yes_or_expected_from_source,yes_or_expected,unknown,,Specific zoonotic source row retained as the current analysis unit.,Vaccination suppresses range. Flag.,,,,,,,,,,,,,,,,,,,,,,unmatched,,,
disease_master_list,master_and_who_existing_resolution,TRUE,master_6,6,West Nile,West Nile fever,Orthoflavivirus nilense,species_or_equivalent,yes_existing_who,,,,Flaviviridae,1,E,FALSE,Culex spp; wild birds,TRUE,TRUE,TRUE,FALSE,FALSE,EMPRES-i adds animal detections,matched_existing_unit_by_manual_alias,West Nile fever,source_disease_name,source_row,Flaviviridae,High,Orthoflavivirus nilense,West Nile virus,Orthoflavivirus nilense,West Nile fever,FALSE,TRUE,TRUE,TRUE,prototype,prototype,prototype,prototype,prototype,prototype,prototype,specific_unit,Orthoflavivirus nilense,West Nile virus,species_or_equivalent,keep,specific_source_row,vector_associated_or_mixed,yes,yes_or_expected_from_source,yes_or_expected,unknown,,Specific zoonotic source row retained as the current analysis unit.,EMPRES-i adds animal detections,,,,,,,,,,,,,,,,,,,,,,unmatched,,,
disease_master_list,master_and_who_existing_resolution,TRUE,master_7,7,CCHF,Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,species_or_equivalent,yes_existing_who,,,,Nairoviridae,1,E,TRUE,Hyalomma ticks,TRUE,TRUE,TRUE,FALSE,FALSE,Livestock amplify tick populations,matched_existing_unit_by_manual_alias,Crimean-Congo hemorrhagic fever,source_disease_name,source_row,Nairoviridae,High,Orthonairovirus haemorrhagiae,,,Crimean-Congo hemorrhagic fever,TRUE,TRUE,TRUE,TRUE,both,both,none,both,both,none,both,specific_unit,Orthonairovirus haemorrhagiae,Orthonairovirus haemorrhagiae,species_or_equivalent,keep,specific_source_row,vector_associated_or_mixed,yes,yes_or_expected_from_source,yes_or_expected,unknown,,Specific zoonotic source row retained as the current analysis unit.,Livestock amplify tick populations,,,,,,,,,,,,,,,,,,,,,,unmatched,,,
disease_master_list,master_and_who_existing_resolution,TRUE,master_8,8,Rift Valley fever,Rift Valley fever,Phlebovirus riftense,species_or_equivalent,yes_existing_who,,,,Phenuiviridae,1,C/E,TRUE,Aedes/Culex; livestock amplifier,TRUE,TRUE,TRUE,FALSE,FALSE,Livestock essential to cycle,matched_existing_unit_by_manual_alias,Rift Valley fever,source_disease_name,source_row,Phenuiviridae,High,Phlebovirus riftense,Rift Valley Fever virus,Phlebovirus riftense,Rift Valley fever,FALSE,TRUE,TRUE,TRUE,prototype,prototype,none,none,none,none,none,specific_unit,Phlebovirus riftense,Rift Valley Fever virus,species_or_equivalent,keep,specific_source_row,vector_associated_or_mixed,yes,yes_or_expected_from_source,yes_or_expected,unknown,,Specific zoonotic source row retained as the current analysis unit.,Livestock essential to cycle,,,,,,,,,,,,,,,,,,,,,,unmatched,,,
disease_master_list,master_and_who_existing_resolution,TRUE,master_9,9,Ebola,Ebola virus disease,Orthoebolavirus zairense,species_or_equivalent,yes_existing_who,,,,Filoviridae,1,B,FALSE,"Fruit bats (Hypsignathus, Epomops, Myonycteris)",TRUE,TRUE,TRUE,FALSE,FALSE,Very low filling,matched_existing_unit_by_manual_alias,Ebola virus disease,source_disease_name,source_row,Filoviridae,High,Orthoebolavirus zairense,Ebola virus,Orthoebolavirus zairense,Ebola virus disease,TRUE,TRUE,TRUE,TRUE,both,both,none,none,none,none,none,specific_unit,Orthoebolavirus zairense,Ebola virus,species_or_equivalent,keep,specific_source_row,host_linked_non_vector,yes,yes_or_expected_from_source,not_central_or_unknown,unknown,,Specific zoonotic source row retained as the current analysis unit.,Very low filling,,,,,,,,,,,,,,,,,,,,,,unmatched,,,
disease_master_list,master_and_who_existing_resolution,TRUE,master_10,10,Marburg,Marburg virus disease,Orthomarburgvirus marburgense,species_or_equivalent,yes_existing_who,,,,Filoviridae,1,B,FALSE,Rousettus aegyptiacus,TRUE,TRUE,TRUE,FALSE,FALSE,Very low filling,matched_existing_unit_by_manual_alias,Marburg virus disease,source_disease_name,source_row,Filoviridae,High,Orthomarburgvirus marburgense,Marburg virus,Orthomarburgvirus marburgense,Marburg virus disease,TRUE,FALSE,TRUE,TRUE,priority,priority,none,none,none,none,none,specific_unit,Orthomarburgvirus marburgense,Marburg virus,species_or_equivalent,keep,specific_source_row,host_linked_non_vector,yes,yes_or_expected_from_source,not_central_or_unknown,unknown,,Specific zoonotic source row retained as the current analysis unit.,Very low filling,,,,,,,,,,,,,,,,,,,,,,unmatched,,,
disease_master_list,master_and_who_existing_resolution,TRUE,master_11,11,Lassa,Lassa fever,Mammarenavirus lassaense,species_or_equivalent,yes_existing_who,,,,Arenaviridae,1,A,FALSE,Mastomys natalensis,TRUE,TRUE,FALSE,FALSE,FALSE,Host taxonomy issue (6 lineages),matched_existing_unit_by_manual_alias,Lassa fever,source_disease_name,source_row,Arenaviridae,High,Mammarenavirus lassaense,Lassa Fever virus,Mammarenavirus lassaense,Lassa fever,TRUE,TRUE,TRUE,FALSE,both,both,none,none,none,none,none,specific_unit,Mammarenavirus lassaense,Lassa Fever virus,species_or_equivalent,keep,specific_source_row,host_linked_non_vector,yes,yes_or_expected_from_source,not_central_or_unknown,unknown,,Specific zoonotic source row retained as the current analysis unit.,Host taxonomy issue (6 lineages),,,,,,,,,,,,,,,,,,,,,,unmatched,,,
