master_row,disease_master_name,pathogen_family_master,in_master_who,in_master_gibb,in_master_empres_i,in_master_atlas,master_guild,master_livestock_amplified,master_tier,master_key_host_vector,master_notes,suggested_next_step
30,Lyme disease,Borrelia,FALSE,TRUE,FALSE,TRUE,E,FALSE,1,Ixodes ticks; rodent/deer,Highest n. High filling,master_list_new_or_unmatched
31,Japanese encephalitis,Flaviviridae,FALSE,TRUE,TRUE,FALSE,E,TRUE,1,Culex tritaeniorhynchus; pigs; wading birds,Pig amplification essential. Vaccination flag.,master_list_new_or_unmatched
32,Chagas (acute),Trypanosoma,FALSE,TRUE,FALSE,FALSE,E,FALSE,1,Triatomine bugs,"GBIF adds ~2,500 T. cruzi records",master_list_new_or_unmatched
33,Melioidosis,Burkholderia,FALSE,TRUE,FALSE,FALSE,env,FALSE,1,Environmental (B. pseudomallei),No animal reservoir,master_list_new_or_unmatched
34,Brazilian spotted fever,Rickettsia,FALSE,TRUE,FALSE,FALSE,E,FALSE,1,Amblyomma ticks,,master_list_new_or_unmatched
35,La Crosse encephalitis,Peribunyaviridae,FALSE,TRUE,FALSE,TRUE,E,FALSE,1,Aedes treehole mosquitoes,,master_list_new_or_unmatched
36,Powassan,Flaviviridae,FALSE,TRUE,FALSE,TRUE,E,FALSE,1,Ixodes ticks,,master_list_new_or_unmatched
37,EEE,Togaviridae,FALSE,TRUE,TRUE,FALSE,E,TRUE,1,Mosquitoes; wild birds,Equine amplification,master_list_new_or_unmatched
38,WEE,Togaviridae,FALSE,TRUE,TRUE,FALSE,E,TRUE,1,Mosquitoes; wild birds,Equine amplification,master_list_new_or_unmatched
39,Jamestown Canyon,Peribunyaviridae,FALSE,TRUE,FALSE,TRUE,E,FALSE,1,Mosquitoes; deer,,master_list_new_or_unmatched
40,St. Louis encephalitis,Flaviviridae,FALSE,TRUE,FALSE,FALSE,E,FALSE,1,Culex; wild birds,,master_list_new_or_unmatched
41,Mayaro,Togaviridae,FALSE,TRUE,FALSE,FALSE,E,FALSE,1,Haemagogus mosquitoes; NHP,,master_list_new_or_unmatched
42,Zoonotic malaria (P. knowlesi),Plasmodium,FALSE,TRUE,FALSE,FALSE,E,FALSE,1,Anopheles; macaque reservoir,,master_list_new_or_unmatched
