disease_name,source_pathogen,network_pathogen,host,host_tax_id,host_role_assignment,assignment_status,assignment_confidence,evidence_record_ids,assignment_basis,needs_manual_review,review_notes
West Nile fever,Orthoflavivirus nilense,Orthoflavivirus nilense,Homo sapiens,9606,dead_end_incidental_host,draft_source_backed,high,host_role_evidence:CDC West Nile Virus Key Messages,CDC explicitly describes humans as dead-end hosts for WNV.,FALSE,Review only if assignment vocabulary changes.
West Nile fever,Orthoflavivirus nilense,Orthoflavivirus nilense,Equus caballus,9796,dead_end_host,draft_source_backed,high,host_role_evidence:WHO West Nile virus fact sheet,WHO explicitly describes horses as dead-end hosts for WNV.,FALSE,Common-name horse source matched to domestic horse candidate.
Yellow fever,Yellow fever virus,Yellow fever virus,Homo sapiens,9606,amplifying_host,draft_source_backed,medium,host_role_evidence:CDC Transmission of Yellow Fever Virus,CDC describes humans as part of the urban human-mosquito transmission cycle.,FALSE,Cycle-specific urban role; do not use as sylvatic reservoir evidence.
Dengue,Orthoflavivirus denguei,Orthoflavivirus denguei,Homo sapiens,9606,amplifying_host,draft_source_backed,high,host_role_evidence:WHO Dengue and severe dengue fact sheet,WHO describes human-to-mosquito transmission during dengue viremia.,FALSE,Urban transmission role; no non-human reservoir assignment made.
Plague,Yersinia pestis,Yersinia pestis,Rodentia,,maintenance_host,draft_source_backed,high,host_role_evidence:CDC How Plague Spreads,CDC describes natural plague maintenance in a wild rodent-flea cycle.,TRUE,Group-level assignment only; do not propagate to every rodent species.
Plague,Yersinia pestis,Yersinia pestis,Homo sapiens,9606,incidental_host,draft_source_backed,high,host_role_evidence:CDC MMWR plague treatment guidelines,CDC describes humans as incidental hosts during plague epizootic spillover.,FALSE,Human-to-human pneumonic transmission is a separate context and not a reservoir role.
Rift Valley fever,Phlebovirus riftense,Phlebovirus riftense,ruminant livestock,,amplifying_host,draft_source_backed,high,host_role_evidence:WHO Rift Valley fever fact sheet,WHO describes amplification in naive ruminants via local competent mosquitoes.,TRUE,Group-level livestock assignment only.
Rift Valley fever,Phlebovirus riftense,Phlebovirus riftense,Homo sapiens,9606,incidental_host,draft_source_backed,high,host_role_evidence:WHO Rift Valley fever fact sheet,WHO describes RVF as primarily affecting animals but also infecting humans.,FALSE,Spillover/incidental human role.
Chikungunya fever,Alphavirus chikungunya,Alphavirus chikungunya,Homo sapiens,9606,amplifying_host,draft_source_backed,high,host_role_evidence:CDC Yellow Book Chikungunya,CDC Yellow Book identifies viremic humans as likely main amplifying reservoirs for mosquito infection.,FALSE,Urban-cycle human amplification.
Zika virus disease,Orthoflavivirus zikaense,Orthoflavivirus zikaense,Homo sapiens,9606,amplifying_host,draft_source_backed,high,host_role_evidence:CDC Transmission of Zika Virus,CDC describes infected people as sources for urban Aedes transmission.,FALSE,Urban-cycle human amplification.
Venezuelan equine encephalitis,Alphavirus venezuelan,Alphavirus venezuelan,rodents,,reservoir_host_group,draft_source_backed,high,host_role_evidence:Venezuelan Equine Encephalitis - StatPearls,StatPearls describes sylvatic rodents as primary reservoir hosts for enzootic strains.,TRUE,Group-level assignment only.
Venezuelan equine encephalitis,Alphavirus venezuelan,Alphavirus venezuelan,Equus caballus,9796,amplifying_host,draft_source_backed,high,host_role_evidence:CDC MMWR Update Venezuelan Equine Encephalitis Colombia 1995,CDC describes equines as the most important vertebrate amplifying host in the epizootic cycle.,FALSE,Common equine evidence mapped to domestic horse candidate.
Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,Orthonairovirus haemorrhagiae,livestock,,amplifying_host,draft_source_backed,high,host_role_evidence:CDC Emerging Infectious Diseases CCHF Virus in Cattle and Ticks Israel,CDC EID article describes livestock as asymptomatic amplifying hosts.,TRUE,Group-level livestock assignment only.
Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,Orthonairovirus haemorrhagiae,Homo sapiens,9606,incidental_host,draft_source_backed,high,host_role_evidence:WHO Crimean-Congo haemorrhagic fever fact sheet,WHO describes human infection from ticks or infected animal blood and tissues.,FALSE,Spillover/incidental human role with nosocomial caveat.
