competence_disease_name,vector_join_key,vector_competence_species,vector_competence_status,vector_competence_evidence_types,transmission_demonstrated,natural_infection_reported,competence_source_examples,competence_note_examples,unmatched_reason,recommended_action,qa_priority
Oropouche fever,ceratopogonidae spp,Ceratopogonidae spp.,unclear,field_detection,,yes,González et al. 2025,family-level positive pool; species not resolved,genus_or_family_level,keep_unmatched_unless_genus_level_links_are_intended,medium
Plague,paradoxopsyllus integer,Paradoxopsyllus integer,unclear,narrative_review,,yes,Medvedev et al. 2022,spontaneous infection reported but no competence experiment in the cited passage,not_in_curated_disease_vector_table,manual_review_needed,medium
Plague,paradoxopsyllus scalonae,Paradoxopsyllus scalonae,unclear,narrative_review,,yes,Medvedev et al. 2022,plague microbe isolated from the species but no transmission result given,not_in_curated_disease_vector_table,manual_review_needed,medium
Rift Valley fever,aedes dorsalis,Aedes dorsalis,unclear,dataset,,,Golnar et al. 2014 Table 1,near-zero measured vector competence,not_in_curated_disease_vector_table,manual_review_needed,medium
Chikungunya fever,culex pipiens,Culex pipiens,not_competent,narrative_review,no,,Coffey et al. 2014,review table reports 0 infection and 0 transmission,not_in_curated_disease_vector_table,no_join_fix_needed_negative_evidence_only,low
Chikungunya fever,culex quinquefasciatus,Cx. quinquefasciatus,not_competent,lab_experiment,no,,van den Hurk et al. 2010,refractory to infection,not_in_curated_disease_vector_table,no_join_fix_needed_negative_evidence_only,low
Chikungunya fever,ornithodoros savignyi,Ornithodoros savignyi,not_competent,narrative_review,no,,Coffey et al. 2014,review table reports 0 infection and no transmission,not_in_curated_disease_vector_table,no_join_fix_needed_negative_evidence_only,low
Oropouche fever,aedes japonicus,Aedes japonicus,not_competent,narrative_review,no,,Ayres et al. 2026,"local mosquito study; low or no infection, dissemination or transmission",not_in_curated_disease_vector_table,no_join_fix_needed_negative_evidence_only,low
Oropouche fever,anopheles quadrimaculatus,Anopheles quadrimaculatus,not_competent,narrative_review,no,,Ayres et al. 2026,tested in the US colony study; very low dissemination and no transmission,not_in_curated_disease_vector_table,no_join_fix_needed_negative_evidence_only,low
Oropouche fever,culex torrentium,Culex torrentium,not_competent,narrative_review,no,,Ayres et al. 2026,"local mosquito study; low or no infection, dissemination or transmission",not_in_curated_disease_vector_table,no_join_fix_needed_negative_evidence_only,low
Plague,atyphloceras multidentatus,Atyphloceras multidentatus,not_competent,narrative_review,no,,Eisen et al. 2009,older study failed to transmit and the authors said the sample size was too small for a final verdict,not_in_curated_disease_vector_table,no_join_fix_needed_negative_evidence_only,low
Plague,catallagia decipiens,Catallagia decipiens,not_competent,narrative_review,no,,Eisen et al. 2009,older study failed to transmit and the authors said the sample size was too small for a final verdict,not_in_curated_disease_vector_table,no_join_fix_needed_negative_evidence_only,low
Plague,euhoplopsyllus glacialis affinis,Euhoplopsyllus glacialis affinis,not_competent,narrative_review,no,,Eisen et al. 2009,older study failed to transmit and the authors said the sample size was too small for a final verdict,not_in_curated_disease_vector_table,no_join_fix_needed_negative_evidence_only,low
Plague,leptopsylla segnis,Leptopsylla segnis,not_competent,narrative_review,no,,Eisen et al. 2009,older study failed to transmit and the authors said the sample size was too small for a final verdict,not_in_curated_disease_vector_table,no_join_fix_needed_negative_evidence_only,low
Plague,megabothris clantoni,Megabothris clantoni,not_competent,narrative_review,no,,Eisen et al. 2009,older study failed to transmit and the authors said the sample size was too small for a final verdict,not_in_curated_disease_vector_table,no_join_fix_needed_negative_evidence_only,low
Plague,meringis shannoni,Meringis shannoni,not_competent,narrative_review,no,,Eisen et al. 2009,older study failed to transmit and the authors said the sample size was too small for a final verdict,not_in_curated_disease_vector_table,no_join_fix_needed_negative_evidence_only,low
Plague,thrassis gladiolus,Thrassis gladiolus,not_competent,narrative_review,no,,Eisen et al. 2009,older study failed to transmit and the authors said the sample size was too small for a final verdict,not_in_curated_disease_vector_table,no_join_fix_needed_negative_evidence_only,low
Plague,thrassis petiolatus,Thrassis petiolatus,not_competent,narrative_review,no,,Eisen et al. 2009,older study failed to transmit and the authors said the sample size was too small for a final verdict,not_in_curated_disease_vector_table,no_join_fix_needed_negative_evidence_only,low
Rift Valley fever,aedes infirmatus,Aedes infirmatus,not_competent,dataset,no,,Golnar et al. 2014 Table 1,explicit incompetent example in text,not_in_curated_disease_vector_table,no_join_fix_needed_negative_evidence_only,low
Rift Valley fever,anopheles crucians,Anopheles crucians,not_competent,dataset,no,,Golnar et al. 2014 Table 1,explicit incompetent example in text,not_in_curated_disease_vector_table,no_join_fix_needed_negative_evidence_only,low
Tick-borne encephalitis,ixodes ricinus x ixodes persulcatus hybrids,Ixodes ricinus x Ixodes persulcatus hybrids,competent,lab_experiment,yes,,Belova et al. 2023,hybrid generation from I. persulcatus female x I. ricinus male; highest acquisition in Siberian subtype,hybrid_or_cross,keep_unmatched_or_review_hybrid_handling_explicitly,high
