analysis_unit_id,readiness_disease_name,source_disease_name,disease_master_name,analysis_unit,analysis_unit_label,row_type,family,priority_prototype_status,master_tier,master_guild,master_livestock_amplified,master_key_host_vector,include_as_analysis_unit,modelling_scope_status,modelling_scope_reason,vectored_status,generalist_status,transmission_complexity,guild,host_sdm_needed,vector_sdm_needed,host_range_rule,vector_range_rule,range_limiting_layer,transmission_rule_review_status,transmission_rule_notes,host_candidate_rows,roster_host_rows,roster_vector_rows,host_role_evidence_rows,host_role_assignment_rows,direct_disease_vector_rows,direct_vector_confirmed_rows,direct_vector_probable_rows,direct_vector_candidate_rows,direct_vector_competence_joined_rows,direct_vector_transmission_yes_rows,direct_vector_natural_infection_yes_rows,roster_vectors_with_host_vector_evidence,roster_vectors_with_human_biting,genbank_country_rows,genbank_distinct_countries_or_territories,genbank_records_with_country,who_don_focal_country_rows,who_don_distinct_countries,who_don_distinct_records,has_substantive_host_role_evidence,has_substantive_vector_role_evidence,role_assignment_status,host_sdm_species_available,vector_sdm_species_available,host_sdm_projection_species_available,vector_sdm_projection_species_available,host_sdm_comparison_species_available,vector_sdm_comparison_species_available,has_direct_vector_evidence,direct_vector_evidence_status,country_evidence_status,sdm_availability_status,readiness_blocker,recommended_next_action,evidence_join_status,evidence_qa_join_status,evidence_qa_match_field,evidence_qa_matched_disease_name,direct_vector_join_status,direct_vector_match_field,direct_vector_matched_disease_name,genbank_join_status,genbank_match_field,genbank_matched_disease_name,who_don_join_status,who_don_match_field,who_don_matched_disease_name,sdm_join_status,sdm_match_field,sdm_matched_disease_name,pheic_risk,source_pathogen,source_previous_name,source_msl39_viral_name,is_priority_pathogen,is_prototype_pathogen,in_gibb_etal,in_empres_i,region_africa,region_americas,region_europe,region_mediterranean,region_se_asia,region_western_pacific,source_unit_scope,analysis_unit_rank,analysis_decision,decision_rule_trigger,transmission_context,human_infection_status,host_link_status,vector_data_status,amplifier_data_status,example_members,rationale,notes,master_row,preferred_match_source,matched_pathogen_names,matched_taxids,match_review_flag,shared_species_proxy_flag,match_review_notes,host_query_bucket,in_master_who,roster_taxonomy_caution_rows,host_role_evidence_substantive_rows,vector_role_evidence_rows,vector_role_evidence_substantive_rows,host_role_substantive_assignment_rows,vector_role_assignment_rows,vector_role_substantive_assignment_rows,direct_vector_species_or_taxa,direct_vector_competent_rows,direct_vector_mixed_competence_rows,direct_vector_not_competent_rows,direct_vector_unclear_competence_rows,direct_vector_taxonomy_review_needed_rows,who_don_high_confidence_rows,who_don_manual_review_rows,has_genbank_country_evidence,has_who_don_focal_evidence,has_any_role_evidence_or_assignment,pathogen_species_name,pathogen_species_name_source,pathogen_taxid,pathogen_taxid_source
master_2,Dengue,Dengue,Dengue,Orthoflavivirus denguei,Dengue virus,source_row,Flaviviridae,both,1,D,FALSE,Aedes aegypti/albopictus,yes_existing_who,include,Included in current default modelling scope after transmission-rule review.,vectored,restricted,simple,mosquito_borne_arbovirus,no,yes,human_cases_not_range_defining,vector_sdm_primary_limiter,vector,reviewed,"WHO dengue fact sheet: Ae. aegypti primary, other Aedes secondary; urban human-mosquito-human cycle, no vertebrate host SDM.",37,37,16,1,1,16,8,2,4,15,2,3,6,6,143,143,53740,47,28,38,TRUE,TRUE,reviewed_assignment_present,32,0,0,0,0,0,TRUE,direct_vector_evidence_present,who_don_and_genbank,missing_required_vector_sdm,missing_required_vector_sdm,find_or_build_vector_sdm,matched_primary_name,matched_primary_name,source_disease_name,Dengue,matched_primary_name,source_disease_name,Dengue,matched_primary_name,source_disease_name,Dengue,matched_primary_name,source_disease_name,Dengue,matched_primary_name,source_disease_name,Dengue,High,Orthoflavivirus denguei,Dengue virus,Orthoflavivirus denguei,TRUE,TRUE,TRUE,FALSE,both,both,both,both,both,both,specific_unit,species_or_equivalent,keep,specific_source_row,vector_associated_or_mixed,yes,yes_or_expected_from_source,yes_or_expected,unknown,,Specific zoonotic source row retained as the current analysis unit.,High filling,2,,,,FALSE,FALSE,,unmatched,TRUE,0,1,6,6,1,6,6,16,3,7,1,4,0,1,47,TRUE,TRUE,TRUE,Orthoflavivirus denguei,source_msl39_viral_name,12637; 3052464,virion_taxid:msl39_viral_name; virion_taxid:Pathogens
master_3,Zika virus disease,Zika virus disease,Zika,Orthoflavivirus zikaense,Zika virus,source_row,Flaviviridae,both,1,D,FALSE,Aedes aegypti/albopictus,yes_existing_who,include,Included in current default modelling scope after transmission-rule review.,vectored,restricted,mixed,mosquito_borne_arbovirus,no,yes,human_cases_not_range_defining,vector_sdm_primary_limiter,vector,reviewed,WHO Zika fact sheet: mainly Ae. aegypti/albopictus; sexual/vertical routes do not define ecological range.,18,18,56,1,1,57,7,7,27,27,7,11,29,29,78,78,2245,16,14,15,TRUE,TRUE,reviewed_assignment_present,15,0,0,0,0,0,TRUE,direct_vector_evidence_present,who_don_and_genbank,missing_required_vector_sdm,missing_required_vector_sdm,find_or_build_vector_sdm,matched_primary_name,matched_primary_name,source_disease_name,Zika virus disease,matched_primary_name,source_disease_name,Zika virus disease,matched_primary_name,source_disease_name,Zika virus disease,matched_primary_name,source_disease_name,Zika virus disease,matched_primary_name,source_disease_name,Zika virus disease,High,Orthoflavivirus zikaense,Zika virus,Orthoflavivirus zikaense,TRUE,TRUE,TRUE,FALSE,both,both,none,none,both,both,specific_unit,species_or_equivalent,keep,specific_source_row,vector_associated_or_mixed,yes,yes_or_expected_from_source,yes_or_expected,unknown,,Specific zoonotic source row retained as the current analysis unit.,High filling,3,,,,FALSE,FALSE,,unmatched,TRUE,2,1,3,3,1,3,3,56,4,10,7,6,0,9,14,TRUE,TRUE,TRUE,Orthoflavivirus zikaense,source_msl39_viral_name,3048459; 64320,virion_taxid:msl39_viral_name; virion_taxid:Pathogens
master_4,Chikungunya fever,Chikungunya fever,Chikungunya,Alphavirus chikungunya,Chikungunya virus,source_row,Togaviridae,both,1,D,FALSE,Aedes aegypti/albopictus,yes_existing_who,include,Included in current default modelling scope after transmission-rule review.,vectored,restricted,simple,mosquito_borne_arbovirus,no,yes,human_cases_not_range_defining,vector_sdm_primary_limiter,vector,reviewed,"WHO/ECDC: CHIKV spread by Ae. aegypti/albopictus; human epidemic cycle, NHP sylvatic cycle not main default range layer.",20,20,21,4,3,21,2,7,10,15,14,0,12,12,115,115,10709,11,6,8,TRUE,TRUE,reviewed_assignment_present,21,0,0,0,0,0,TRUE,direct_vector_evidence_present,who_don_and_genbank,missing_required_vector_sdm,missing_required_vector_sdm,find_or_build_vector_sdm,matched_primary_name,matched_primary_name,source_disease_name,Chikungunya fever,matched_primary_name,source_disease_name,Chikungunya fever,matched_primary_name,source_disease_name,Chikungunya fever,matched_alternate_name,disease_master_name,Chikungunya,matched_primary_name,source_disease_name,Chikungunya fever,High,Alphavirus chikungunya,Chikungunya virus,Alphavirus chikungunya,TRUE,TRUE,TRUE,FALSE,both,both,none,none,both,both,specific_unit,species_or_equivalent,keep,specific_source_row,vector_associated_or_mixed,yes,yes_or_expected_from_source,yes_or_expected,unknown,,Specific zoonotic source row retained as the current analysis unit.,High filling,4,,,,FALSE,FALSE,,unmatched,TRUE,0,4,3,3,3,3,3,21,14,0,0,1,0,3,11,TRUE,TRUE,TRUE,Alphavirus chikungunya,source_msl39_viral_name,3426298; 37124,virion_taxid:msl39_viral_name; virion_taxid:Pathogens
master_5,Yellow fever,Yellow fever,Yellow fever,Orthoflavivirus flavi,Yellow fever virus,source_row,Flaviviridae,priority,1,D/E,FALSE,Aedes spp; NHP reservoir,yes_existing_who,include,Included in current default modelling scope after transmission-rule review.,vectored,host_group_generalist,complex,mosquito_borne_arbovirus,optional,yes,include_reservoir_hosts_only,include_competent_vectors,host_and_vector,reviewed,WHO yellow fever and CDC Yellow Book: sylvatic/intermediate/urban cycles; mosquitoes plus NHP/humans; do not use human SDMs.,23,23,30,2,1,32,18,7,7,29,20,10,12,12,42,42,1995,109,34,71,TRUE,TRUE,reviewed_assignment_present,32,0,0,0,0,0,TRUE,direct_vector_evidence_present,who_don_and_genbank,missing_required_vector_sdm,missing_required_vector_sdm,find_or_build_vector_sdm,matched_primary_name,matched_primary_name,source_disease_name,Yellow fever,matched_primary_name,source_disease_name,Yellow fever,matched_primary_name,source_disease_name,Yellow fever,matched_primary_name,source_disease_name,Yellow fever,matched_primary_name,source_disease_name,Yellow fever,High,Orthoflavivirus flavi,Yellow fever virus,Orthoflavivirus flavi,TRUE,FALSE,TRUE,FALSE,priority,priority,none,none,none,none,specific_unit,species_or_equivalent,keep,specific_source_row,vector_associated_or_mixed,yes,yes_or_expected_from_source,yes_or_expected,unknown,,Specific zoonotic source row retained as the current analysis unit.,Vaccination suppresses range. Flag.,5,,,,FALSE,FALSE,,unmatched,TRUE,0,2,6,6,1,6,6,30,20,2,0,7,0,7,104,TRUE,TRUE,TRUE,Orthoflavivirus flavi,source_msl39_viral_name,11089; 3046277,virion_taxid:msl39_viral_name; virion_taxid:Pathogens
master_6,West Nile fever,West Nile fever,West Nile,Orthoflavivirus nilense,West Nile virus,source_row,Flaviviridae,prototype,1,E,FALSE,Culex spp; wild birds,yes_existing_who,include,Included in current default modelling scope after transmission-rule review.,vectored,host_group_generalist,complex,mosquito_borne_arbovirus,optional,yes,host_sdm_low_value_generalist,vector_sdm_primary_limiter,vector,reviewed,"CDC/ECDC: maintained by Culex mosquitoes and avian hosts; humans/horses dead-end, broad birds make host SDM low value.",186,186,75,4,3,75,9,10,52,39,21,1,47,39,73,73,8316,14,4,11,TRUE,TRUE,reviewed_assignment_present,60,0,1,0,0,0,TRUE,direct_vector_evidence_present,who_don_and_genbank,missing_required_vector_sdm,missing_required_vector_sdm,find_or_build_vector_sdm,matched_primary_name,matched_primary_name,source_disease_name,West Nile fever,matched_primary_name,source_disease_name,West Nile fever,matched_primary_name,source_disease_name,West Nile fever,matched_primary_name,source_disease_name,West Nile fever,matched_primary_name,source_disease_name,West Nile fever,High,Orthoflavivirus nilense,West Nile virus,Orthoflavivirus nilense,FALSE,TRUE,TRUE,TRUE,prototype,prototype,prototype,prototype,prototype,prototype,specific_unit,species_or_equivalent,keep,specific_source_row,vector_associated_or_mixed,yes,yes_or_expected_from_source,yes_or_expected,unknown,,Specific zoonotic source row retained as the current analysis unit.,EMPRES-i adds animal detections,6,,,,FALSE,FALSE,,unmatched,TRUE,1,4,6,6,3,5,5,75,20,7,2,10,1,0,14,TRUE,TRUE,TRUE,Orthoflavivirus nilense,source_msl39_viral_name,11082; 3048448,virion_taxid:msl39_viral_name; virion_taxid:Pathogens
master_7,Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,CCHF,Orthonairovirus haemorrhagiae,Orthonairovirus haemorrhagiae,source_row,Nairoviridae,both,1,E,TRUE,Hyalomma ticks,yes_existing_who,include,Included in current default modelling scope after transmission-rule review.,vectored,host_group_generalist,mixed,tick_borne_pathogen,optional,yes,include_livestock_hosts,vector_sdm_primary_limiter,vector,reviewed,WHO/ECDC CCHF: Hyalomma ticks primary ecological limiter; livestock/human blood-tissue exposure is important but not the default host SDM layer.,13,13,49,2,2,49,16,4,29,30,2,1,35,27,53,53,5335,4,3,4,TRUE,TRUE,reviewed_assignment_present,22,0,0,0,0,0,TRUE,direct_vector_evidence_present,who_don_and_genbank,missing_required_vector_sdm,missing_required_vector_sdm,find_or_build_vector_sdm,matched_primary_name,matched_primary_name,source_disease_name,Crimean-Congo hemorrhagic fever,matched_primary_name,source_disease_name,Crimean-Congo hemorrhagic fever,matched_primary_name,source_disease_name,Crimean-Congo hemorrhagic fever,matched_primary_name,source_disease_name,Crimean-Congo hemorrhagic fever,matched_primary_name,source_disease_name,Crimean-Congo hemorrhagic fever,High,Orthonairovirus haemorrhagiae,,,TRUE,TRUE,TRUE,TRUE,both,none,both,both,none,both,specific_unit,species_or_equivalent,keep,specific_source_row,vector_associated_or_mixed,yes,yes_or_expected_from_source,yes_or_expected,unknown,,Specific zoonotic source row retained as the current analysis unit.,Livestock amplify tick populations,7,,,,FALSE,FALSE,,unmatched,TRUE,2,2,5,5,2,5,5,49,14,1,0,15,1,0,4,TRUE,TRUE,TRUE,Orthonairovirus haemorrhagiae,source_pathogen,3052518,virion_taxid:matched_virus_name; virion_taxid:Pathogens; virion_taxid:Virion_VirusName
master_8,Rift Valley fever,Rift Valley fever,Rift Valley fever,Phlebovirus riftense,Rift Valley Fever virus,source_row,Phenuiviridae,prototype,1,C/E,TRUE,Aedes/Culex; livestock amplifier,yes_existing_who,include,Included in current default modelling scope after transmission-rule review.,vectored,host_group_generalist,mixed,livestock_amplified_vector_borne,yes,yes,include_primary_amplifying_host_group,include_competent_vectors,host_and_vector,reviewed,"WHO RVF: mosquito-borne among livestock; humans also infected through animal fluids, so combine competent mosquitoes with ruminant amplifier layer.",17,17,78,5,5,88,6,33,36,82,30,53,45,43,33,33,1793,18,10,13,TRUE,TRUE,reviewed_assignment_present,25,0,1,0,0,0,TRUE,direct_vector_evidence_present,who_don_and_genbank,missing_required_vector_sdm,missing_required_vector_sdm,find_or_build_vector_sdm,matched_primary_name,matched_primary_name,source_disease_name,Rift Valley fever,matched_primary_name,source_disease_name,Rift Valley fever,matched_primary_name,source_disease_name,Rift Valley fever,matched_primary_name,source_disease_name,Rift Valley fever,matched_primary_name,source_disease_name,Rift Valley fever,High,Phlebovirus riftense,Rift Valley Fever virus,Phlebovirus riftense,FALSE,TRUE,TRUE,TRUE,prototype,none,none,none,none,none,specific_unit,species_or_equivalent,keep,specific_source_row,vector_associated_or_mixed,yes,yes_or_expected_from_source,yes_or_expected,unknown,,Specific zoonotic source row retained as the current analysis unit.,Livestock essential to cycle,8,,,,FALSE,FALSE,,unmatched,TRUE,1,5,6,6,5,6,6,78,30,11,4,37,0,1,18,TRUE,TRUE,TRUE,Phlebovirus riftense,source_msl39_viral_name,3052676,virion_taxid:matched_virus_name; virion_taxid:msl39_viral_name; virion_taxid:Pathogens; virion_taxid:Virion_VirusName
master_9,Ebola virus disease,Ebola virus disease,Ebola,Orthoebolavirus zairense,Ebola virus,source_row,Filoviridae,both,1,B,FALSE,"Fruit bats (Hypsignathus, Epomops, Myonycteris)",yes_existing_who,include,Included with reservoir-host-group caution: use reservoir bat evidence conservatively and do not treat all observed/spillover hosts as reservoir SDM targets.,non_vectored,restricted,complex,bat_reservoir_spillover,optional,no,include_reservoir_hosts_only,no_vector,mixed,reviewed,WHO/GOV.UK: fruit bats suspected/believed natural hosts; NHPs often incidental; human-to-human bodily-fluid outbreaks; reservoir uncertainty retained.,16,16,0,5,4,0,0,0,0,0,0,0,0,0,16,16,3578,210,18,158,TRUE,FALSE,reviewed_assignment_present,15,0,0,0,0,0,FALSE,not_expected_non_vectored,who_don_and_genbank,required_sdms_available,none,ready_for_model_spec_review,matched_primary_name,matched_primary_name,source_disease_name,Ebola virus disease,unmatched_no_evidence,,,matched_primary_name,source_disease_name,Ebola virus disease,matched_primary_name,source_disease_name,Ebola virus disease,matched_primary_name,source_disease_name,Ebola virus disease,High,Orthoebolavirus zairense,Ebola virus,Orthoebolavirus zairense,TRUE,TRUE,TRUE,TRUE,both,none,none,none,none,none,specific_unit,species_or_equivalent,keep,specific_source_row,host_linked_non_vector,yes,yes_or_expected_from_source,not_central_or_unknown,unknown,,Specific zoonotic source row retained as the current analysis unit.,Very low filling,9,,,,FALSE,FALSE,,unmatched,TRUE,0,5,0,0,4,0,0,0,0,0,0,0,0,7,207,TRUE,TRUE,TRUE,Orthoebolavirus zairense,source_msl39_viral_name,186538; 3052462,virion_taxid:matched_virus_name; virion_taxid:msl39_viral_name; virion_taxid:Pathogens; virion_taxid:Virion_VirusName
master_10,Marburg virus disease,Marburg virus disease,Marburg,Orthomarburgvirus marburgense,Marburg virus,source_row,Filoviridae,priority,1,B,FALSE,Rousettus aegyptiacus,yes_existing_who,include,Included in current default modelling scope after transmission-rule review.,non_vectored,specialist,complex,bat_reservoir_spillover,yes,no,include_reservoir_hosts_only,no_vector,reservoir_host,reviewed,WHO: Rousettus aegyptiacus fruit bats considered natural host; human spread by bodily fluids.,9,9,0,3,3,0,0,0,0,0,0,0,0,0,16,16,358,67,17,32,TRUE,FALSE,reviewed_assignment_present,8,0,0,0,0,0,FALSE,not_expected_non_vectored,who_don_and_genbank,required_sdms_available,none,ready_for_model_spec_review,matched_primary_name,matched_primary_name,source_disease_name,Marburg virus disease,unmatched_no_evidence,,,matched_primary_name,source_disease_name,Marburg virus disease,matched_primary_name,source_disease_name,Marburg virus disease,matched_primary_name,source_disease_name,Marburg virus disease,High,Orthomarburgvirus marburgense,Marburg virus,Orthomarburgvirus marburgense,TRUE,FALSE,TRUE,TRUE,priority,none,none,none,none,none,specific_unit,species_or_equivalent,keep,specific_source_row,host_linked_non_vector,yes,yes_or_expected_from_source,not_central_or_unknown,unknown,,Specific zoonotic source row retained as the current analysis unit.,Very low filling,10,,,,FALSE,FALSE,,unmatched,TRUE,0,3,0,0,3,0,0,0,0,0,0,0,0,1,67,TRUE,TRUE,TRUE,Orthomarburgvirus marburgense,source_msl39_viral_name,3052505,virion_taxid:matched_virus_name; virion_taxid:msl39_viral_name; virion_taxid:Pathogens; virion_taxid:Virion_VirusName
master_11,Lassa fever,Lassa fever,Lassa,Mammarenavirus lassaense,Lassa Fever virus,source_row,Arenaviridae,both,1,A,FALSE,Mastomys natalensis,yes_existing_who,include,Included in current default modelling scope after transmission-rule review.,non_vectored,specialist,mixed,rodent_reservoir_direct_or_environmental,yes,no,include_reservoir_hosts_only,no_vector,reservoir_host,reviewed,CDC/WHO: Mastomys multimammate rats shed virus in urine/faeces; limited person-to-person occurs; reservoir SDM useful.,14,14,0,4,4,0,0,0,0,0,0,0,0,0,11,11,2684,27,11,21,TRUE,FALSE,reviewed_assignment_present,13,0,0,0,0,0,FALSE,not_expected_non_vectored,who_don_and_genbank,required_sdms_available,none,ready_for_model_spec_review,matched_primary_name,matched_primary_name,source_disease_name,Lassa fever,unmatched_no_evidence,,,matched_primary_name,source_disease_name,Lassa fever,matched_primary_name,source_disease_name,Lassa fever,matched_primary_name,source_disease_name,Lassa fever,High,Mammarenavirus lassaense,Lassa Fever virus,Mammarenavirus lassaense,TRUE,TRUE,TRUE,FALSE,both,none,none,none,none,none,specific_unit,species_or_equivalent,keep,specific_source_row,host_linked_non_vector,yes,yes_or_expected_from_source,not_central_or_unknown,unknown,,Specific zoonotic source row retained as the current analysis unit.,Host taxonomy issue (6 lineages),11,,,,FALSE,FALSE,,unmatched,TRUE,0,4,0,0,4,0,0,0,0,0,0,0,0,4,27,TRUE,TRUE,TRUE,Mammarenavirus lassaense,source_msl39_viral_name,3052310,virion_taxid:matched_virus_name; virion_taxid:msl39_viral_name; virion_taxid:Pathogens; virion_taxid:Virion_VirusName
