analysis_unit_id,disease_name,disease_master_name,analysis_unit,analysis_unit_label,include_as_analysis_unit,host_query_bucket,vectored_status,generalist_status,transmission_complexity,guild,host_sdm_needed,vector_sdm_needed,host_range_rule,vector_range_rule,range_limiting_layer,transmission_rule_notes,transmission_rule_review_status,modelling_scope_status,modelling_scope_reason
master_2,Dengue,Dengue,Orthoflavivirus denguei,Dengue virus,yes_existing_who,unmatched,vectored,restricted,simple,mosquito_borne_arbovirus,no,yes,human_cases_not_range_defining,vector_sdm_primary_limiter,vector,"WHO dengue fact sheet: Ae. aegypti primary, other Aedes secondary; urban human-mosquito-human cycle, no vertebrate host SDM.",reviewed,include,Included in current default modelling scope after transmission-rule review.
master_3,Zika virus disease,Zika,Orthoflavivirus zikaense,Zika virus,yes_existing_who,unmatched,vectored,restricted,mixed,mosquito_borne_arbovirus,no,yes,human_cases_not_range_defining,vector_sdm_primary_limiter,vector,WHO Zika fact sheet: mainly Ae. aegypti/albopictus; sexual/vertical routes do not define ecological range.,reviewed,include,Included in current default modelling scope after transmission-rule review.
master_4,Chikungunya fever,Chikungunya,Alphavirus chikungunya,Chikungunya virus,yes_existing_who,unmatched,vectored,restricted,simple,mosquito_borne_arbovirus,no,yes,human_cases_not_range_defining,vector_sdm_primary_limiter,vector,"WHO/ECDC: CHIKV spread by Ae. aegypti/albopictus; human epidemic cycle, NHP sylvatic cycle not main default range layer.",reviewed,include,Included in current default modelling scope after transmission-rule review.
master_5,Yellow fever,Yellow fever,Orthoflavivirus flavi,Yellow fever virus,yes_existing_who,unmatched,vectored,host_group_generalist,complex,mosquito_borne_arbovirus,optional,yes,include_reservoir_hosts_only,include_competent_vectors,host_and_vector,WHO yellow fever and CDC Yellow Book: sylvatic/intermediate/urban cycles; mosquitoes plus NHP/humans; do not use human SDMs.,reviewed,include,Included in current default modelling scope after transmission-rule review.
master_6,West Nile fever,West Nile,Orthoflavivirus nilense,West Nile virus,yes_existing_who,unmatched,vectored,host_group_generalist,complex,mosquito_borne_arbovirus,optional,yes,host_sdm_low_value_generalist,vector_sdm_primary_limiter,vector,"CDC/ECDC: maintained by Culex mosquitoes and avian hosts; humans/horses dead-end, broad birds make host SDM low value.",reviewed,include,Included in current default modelling scope after transmission-rule review.
master_7,Crimean-Congo hemorrhagic fever,CCHF,Orthonairovirus haemorrhagiae,Orthonairovirus haemorrhagiae,yes_existing_who,unmatched,mixed_or_indirect,host_group_generalist,mixed,livestock_amplified_vector_borne,optional,yes,include_livestock_hosts,include_competent_vectors,host_and_vector,"WHO: transmitted from ticks and livestock tissues; Hyalomma/tick layer primary, livestock exposure relevant.",reviewed,include,Included in current default modelling scope after transmission-rule review.
master_8,Rift Valley fever,Rift Valley fever,Phlebovirus riftense,Rift Valley Fever virus,yes_existing_who,unmatched,mixed_or_indirect,host_group_generalist,mixed,livestock_amplified_vector_borne,yes,yes,include_primary_amplifying_host_group,include_competent_vectors,host_and_vector,"WHO: mosquito-borne among livestock, humans via mosquito bites or infected animal fluids; include ruminant amplifiers and vectors.",reviewed,include,Included in current default modelling scope after transmission-rule review.
master_9,Ebola virus disease,Ebola,Orthoebolavirus zairense,Ebola virus,yes_existing_who,unmatched,non_vectored,restricted,complex,bat_reservoir_spillover,optional,no,include_reservoir_hosts_only,no_vector,mixed,WHO/GOV.UK: fruit bats suspected/believed natural hosts; NHPs often incidental; human-to-human bodily-fluid outbreaks; reservoir uncertainty retained.,needs_review,review_before_modelling,Transmission rule pass marked this row needs_review; use only after manual review.
master_10,Marburg virus disease,Marburg,Orthomarburgvirus marburgense,Marburg virus,yes_existing_who,unmatched,non_vectored,specialist,complex,bat_reservoir_spillover,yes,no,include_reservoir_hosts_only,no_vector,reservoir_host,WHO: Rousettus aegyptiacus fruit bats considered natural host; human spread by bodily fluids.,reviewed,include,Included in current default modelling scope after transmission-rule review.
master_11,Lassa fever,Lassa,Mammarenavirus lassaense,Lassa Fever virus,yes_existing_who,unmatched,non_vectored,specialist,mixed,rodent_reservoir_direct_or_environmental,yes,no,include_reservoir_hosts_only,no_vector,reservoir_host,CDC/WHO: Mastomys multimammate rats shed virus in urine/faeces; limited person-to-person occurs; reservoir SDM useful.,reviewed,include,Included in current default modelling scope after transmission-rule review.
